股票代码,股票名称,上市时间,股票代码,股票名称,上市时间
002558.XSHE,巨人网络,2011/3/2,601111.XSHG,中国国航,2006/8/18
002594.XSHE,比亚迪,2011/6/30,601117.XSHG,中国化学,2010/1/7
002601.XSHE,龙蟒佰利,2011/7/15,601166.XSHG,兴业银行,2007/2/5
002602.XSHE,世纪华通,2011/7/28,601169.XSHG,北京银行,2007/9/19
002607.XSHE,中公教育,2011/8/10,601186.XSHG,中国铁建,2008/3/10
002624.XSHE,完美世界,2011/10/28,601216.XSHG,君正集团,2011/2/22
002673.XSHE,西部证券,2012/5/3,601225.XSHG,陕西煤业,2014/1/28
002714.XSHE,牧原股份,2014/1/28,601238.XSHG,广汽集团,2012/3/29
300003.XSHE,乐普医疗,2009/10/30,601288.XSHG,农业银行,2010/7/15
300015.XSHE,爱尔眼科,2009/10/30,601318.XSHG,中国平安,2007/3/1
300017.XSHE,网宿科技,2009/10/30,601328.XSHG,交通银行,2007/5/15
300024.XSHE,机器人,2009/10/30,601336.XSHG,新华保险,2011/12/16
300033.XSHE,同花顺,2009/12/25,601360.XSHG,三六零,2012/1/16
300059.XSHE,东方财富,2010/3/19,601377.XSHG,兴业证券,2010/10/13
300070.XSHE,碧水源,2010/4/21,601390.XSHG,中国中铁,2007/12/3
300122.XSHE,智飞生物,2010/9/28,601398.XSHG,工商银行,2006/10/27
300124.XSHE,汇川技术,2010/9/28,601555.XSHG,东吴证券,2011/12/12
300136.XSHE,信维通信,2010/11/5,601600.XSHG,中国铝业,2007/4/30
300142.XSHE,沃森生物,2010/11/12,601601.XSHG,中国太保,2007/12/25
300144.XSHE,宋城演艺,2010/12/9,601607.XSHG,上海医药,1994/3/24
300347.XSHE,泰格医药,2012/8/17,601618.XSHG,中国中冶,2009/9/21
600000.XSHG,浦发银行,1999/11/10,601628.XSHG,中国人寿,2007/1/9
600004.XSHG,白云机场,2003/4/28,601633.XSHG,长城汽车,2011/9/28
600009.XSHG,上海机场,1998/2/18,601668.XSHG,中国建筑,2009/7/29
600010.XSHG,包钢股份,2001/3/9,601669.XSHG,中国电建,2011/10/18
600011.XSHG,华能国际,2001/12/6,601688.XSHG,华泰证券,2010/2/26
600015.XSHG,华夏银行,2003/9/12,601727.XSHG,上海电气,2008/12/5
600016.XSHG,民生银行,2000/12/19,601766.XSHG,中国中车,2008/8/18
600018.XSHG,上港集团,2006/10/26,601788.XSHG,光大证券,2009/8/18
600019.XSHG,宝钢股份,2000/12/12,601800.XSHG,中国交建,2012/3/9
600023.XSHG,浙能电力,2013/12/19,601808.XSHG,中海油服,2007/9/28
600027.XSHG,华电国际,2005/2/3,601818.XSHG,光大银行,2010/8/18
600028.XSHG,中国石化,2001/8/8,601857.XSHG,中国石油,2007/11/5
600029.XSHG,南方航空,2003/7/25,601877.XSHG,正泰电器,2010/1/21
600030.XSHG,中信证券,2003/1/6,601888.XSHG,中国国旅,2009/10/15
600031.XSHG,三一重工,2003/7/3,601898.XSHG,中煤能源,2008/2/1
600036.XSHG,招商银行,2002/4/9,601899.XSHG,紫金矿业,2008/4/25
600038.XSHG,中直股份,2000/12/18,601901.XSHG,方正证券,2011/8/10
600048.XSHG,保利地产,2006/7/31,601919.XSHG,中远海控,2007/6/26
600050.XSHG,中国联通,2002/10/9,601933.XSHG,永辉超市,2010/12/15
600061.XSHG,国投资本,1997/5/19,601939.XSHG,建设银行,2007/9/25
600066.XSHG,宇通客车,1997/5/8,601988.XSHG,中国银行,2006/7/5
600068.XSHG,葛洲坝,1997/5/26,601989.XSHG,中国重工,2009/12/16
600085.XSHG,同仁堂,1997/6/25,601992.XSHG,金隅集团,2011/3/1
600089.XSHG,特变电工,1997/6/18,601998.XSHG,中信银行,2007/4/27
600100.XSHG,同方股份,1997/6/27,603288.XSHG,海天味业,2014/2/11
600104.XSHG,上汽集团,1997/11/25,603993.XSHG,洛阳钼业,2012/10/9
