2011-01-20,3.39
2011-01-21,3.43
2011-01-24,3.43
2011-01-25,3.43
2011-01-26,3.45
2011-01-27,3.46
2011-01-28,3.43
2011-01-31,3.46
2011-02-01,3.49
2011-02-09,3.44
2011-02-10,3.48
2011-02-11,3.48
2011-02-14,3.56
2011-02-15,3.55
2011-02-16,3.54
2011-02-17,3.55
2011-02-18,3.53
2011-02-21,3.53
2011-02-22,3.45
2011-02-23,3.45
2011-02-24,3.44
2011-02-25,3.46
2011-02-28,3.47
2011-03-01,3.49
2011-03-02,3.5
2011-03-03,3.55
2011-03-04,3.58
2011-03-07,3.6
2011-03-08,3.6
2011-03-09,3.6
2011-03-10,3.54
2011-03-11,3.51
2011-03-14,3.51
2011-03-15,3.46
2011-03-16,3.48
2011-03-17,3.45
2011-03-18,3.45
2011-03-21,3.45
2011-03-22,3.48
2011-03-23,3.5
2011-03-24,3.49
2011-03-25,3.55
2011-03-28,3.55
2011-03-29,3.58
2011-03-30,3.59
2011-03-31,3.56
2011-04-01,3.63
2011-04-06,3.79
2011-04-07,3.76
2011-04-08,3.75
2011-04-11,3.75
2011-04-12,3.76
2011-04-13,3.81
2011-04-14,3.8
2011-04-15,3.85
2011-04-18,3.82
2011-04-19,3.73
2011-04-20,3.73
2011-04-21,3.75
2011-04-22,3.71
2011-04-25,3.7
2011-04-26,3.71
2011-04-27,3.73
2011-04-28,3.77
2011-04-29,3.72
2011-05-03,3.71
2011-05-04,3.65
2011-05-05,3.66
2011-05-06,3.63
2011-05-09,3.61
2011-05-10,3.65
2011-05-11,3.63
2011-05-12,3.63
2011-05-13,3.65
2011-05-16,3.61
2011-05-17,3.63
2011-05-18,3.66
2011-05-19,3.65
2011-05-20,3.66
2011-05-23,3.58
2011-05-24,3.56
2011-05-25,3.52
2011-05-26,3.54
2011-05-27,3.56
2011-05-30,3.58
2011-05-31,3.6
2011-06-01,3.56
2011-06-02,3.48
2011-06-03,3.49
2011-06-07,3.5
2011-06-08,3.5
2011-06-09,3.47
2011-06-10,3.51
2011-06-13,3.51
2011-06-14,3.5
2011-06-15,3.48
2011-06-16,3.46
2011-06-17,3.45
2011-06-20,3.43
2011-06-21,3.43
2011-06-22,3.43
2011-06-23,3.46
2011-06-24,3.53
2011-06-27,3.5
2011-06-28,3.5
2011-06-29,3.44
2011-06-30,3.46
2011-07-01,3.46
2011-07-04,3.51
2011-07-05,3.5
2011-07-06,3.47
2011-07-07,3.46
2011-07-08,3.48
2011-07-11,3.48
2011-07-12,3.46
2011-07-13,3.48
